onset	duration	condition
434.6561	1.0609	MoveCursorLeft
436.0411	0	Respond
441.8733	3.5	Pain
447.394	1.9349	Rate
449.3289	0	Respond
454.4234	3.5	Pain
459.9441	5.0375	Rate
460.7797	0.177	MoveCursorLeft
461.7107	0.127	MoveCursorRight
463.0617	0.1369	MoveCursorLeft
463.9957	0.1569	MoveCursorRight
464.9816	0	Respond
469.8251	3.5	Nopain
475.3458	1.3517	Rate
475.8535	0.29	MoveCursorLeft
476.6975	0	Respond
481.3142	3.5	Nopain
486.8349	1.5194	Rate
487.2473	0.693	MoveCursorLeft
488.3543	0	Respond
493.8643	3.5	Pain
499.385	3.1191	Rate
500.1362	1.4038	MoveCursorLeft
501.8481	0.15	MoveCursorLeft
502.5041	0	Respond
506.9947	3.5	Nopain
512.5154	1.5475	Rate
513.474	0.2779	MoveCursorLeft
514.0629	0	Respond
518.5501	3.5	Nopain
524.0708	2.6199	Rate
525.9608	0.3649	MoveCursorLeft
526.6907	0	Respond
532.1115	3.5	Pain
537.6322	7.1843	Rate
538.8086	1.1819	MoveCursorLeft
540.5665	0.143	MoveCursorLeft
541.6985	0.143	MoveCursorRight
543.3665	0.137	MoveCursorRight
544.1095	0.188	MoveCursorLeft
544.8165	0	Respond
550.3979	3.5	Pain
555.9186	2.6527	Rate
556.7213	0.581	MoveCursorLeft
557.9353	0.124	MoveCursorLeft
558.5713	0	Respond
